sample Nr - Plot 0	Spannung / V - Plot 0
7916	0,262756
7917	0,262498
7918	0,262031
7919	0,262289
7920	0,261822
7921	0,262047
7922	0,261757
7923	0,262257
7924	0,262418
7925	0,262079
7926	0,26274
7927	0,262514
7928	0,262885
7929	0,261886
7930	0,262144
7931	0,262192
7932	0,262692
7933	0,26303
7934	0,262949
7935	0,263465
7936	0,263787
7937	0,263545
7938	0,263899
7939	0,263996
7940	0,263658
7941	0,263755
7942	0,263593
7943	0,264093
7944	0,264367
7945	0,264834
7946	0,264028
7947	0,265107
7948	0,265156
7949	0,264367
7950	0,264946
7951	0,264656
7952	0,264189
7953	0,264576
7954	0,264173
7955	0,264705
7956	0,264801
7957	0,263899
7958	0,264463
7959	0,263916
7960	0,263787
7961	0,263384
7962	0,262981
7963	0,263465
7964	0,262933
7965	0,263239
7966	0,262965
7967	0,262192
7968	0,261822
7969	0,262192
7970	0,262208
7971	0,261902
7972	0,261838
7973	0,261355
7974	0,261322
7975	0,261467
7976	0,261097
7977	0,261258
7978	0,260855
7979	0,261
7980	0,260936
7981	0,261435
7982	0,261371
7983	0,2615
7984	0,261918
7985	0,261999
7986	0,262079
7987	0,262079
7988	0,261951
7989	0,261918
7990	0,262514
7991	0,262981
7992	0,263014
7993	0,263142
7994	0,263255
7995	0,263626
7996	0,263577
7997	0,263706
7998	0,264093
7999	0,26398
8000	0,265075
8001	0,264544
8002	0,264431
8003	0,264785
8004	0,264479
8005	0,264834
8006	0,264608
8007	0,264753
8008	0,264705
8009	0,26464
8010	0,265494
8011	0,264592
8012	0,265059
8013	0,264769
8014	0,264173
8015	0,264109
8016	0,263432
8017	0,263851
8018	0,263416
8019	0,263287
8020	0,263239
8021	0,262514
8022	0,263239
8023	0,262772
8024	0,261628
8025	0,261403
8026	0,261194
8027	0,261773
8028	0,261548
8029	0,261435
8030	0,261161
8031	0,261194
8032	0,261016
8033	0,261097
8034	0,260807
8035	0,260855
8036	0,260533
8037	0,260968
8038	0,261226
8039	0,260501
8040	0,261081
8041	0,261741
8042	0,261741
8043	0,26158
8044	0,261951
8045	0,262257
8046	0,262112
8047	0,262595
8048	0,262788
8049	0,263159
8050	0,263513
8051	0,26369
8052	0,263465
8053	0,264044
8054	0,26464
8055	0,264463
8056	0,265446
8057	0,265027
8058	0,265365
8059	0,265655
8060	0,265059
8061	0,265752
8062	0,265059
8063	0,265333
8064	0,265462
8065	0,265269
8066	0,264801
8067	0,265075
8068	0,26464
8069	0,264866
8070	0,26435
8071	0,26456
8072	0,263948
8073	0,263545
8074	0,263239
8075	0,262788
8076	0,263126
8077	0,262337
8078	0,262466
8079	0,262176
8080	0,261564
8081	0,261258
8082	0,260855
8083	0,26063
8084	0,260066
8085	0,260517
8086	0,260388
8087	0,260308
8088	0,260098
8089	0,26005
8090	0,259921
8091	0,259792
8092	0,260533
8093	0,260082
8094	0,260469
8095	0,260227
8096	0,261467
8097	0,261
8098	0,261725
8099	0,261983
8100	0,261741
8101	0,262257
8102	0,262885
8103	0,263255
8104	0,263239
8105	0,263819
8106	0,264367
8107	0,26464
8108	0,264818
8109	0,264721
8110	0,264592
8111	0,265397
8112	0,265687
8113	0,265784
8114	0,265816
8115	0,265703
8116	0,265977
8117	0,265929
8118	0,26514
8119	0,265365
8120	0,265075
8121	0,265575
8122	0,26456
8123	0,26493
8124	0,264705
8125	0,263771
8126	0,26398
8127	0,262965
8128	0,262772
8129	0,262498
8130	0,262257
8131	0,262192
8132	0,261661
8133	0,261967
8134	0,260904
8135	0,260421
8136	0,259953
8137	0,26034
8138	0,25968
8139	0,259374
8140	0,259873
8141	0,259647
8142	0,259776
8143	0,260324
8144	0,259712
8145	0,25939
8146	0,25968
8147	0,259406
8148	0,260066
8149	0,260324
8150	0,260871
8151	0,260743
8152	0,26121
8153	0,261935
8154	0,262096
8155	0,262853
8156	0,26311
8157	0,263239
8158	0,264383
8159	0,263755
8160	0,264576
8161	0,264914
8162	0,2658
8163	0,265623
8164	0,265591
8165	0,266106
8166	0,266042
8167	0,265993
8168	0,265913
8169	0,266412
8170	0,267169
8171	0,265913
8172	0,266235
8173	0,26609
8174	0,265381
8175	0,265397
8176	0,265156
8177	0,264689
8178	0,264077
8179	0,263899
8180	0,264206
8181	0,262981
8182	0,262385
8183	0,262305
8184	0,261918
8185	0,261886
8186	0,261161
8187	0,260485
8188	0,260179
8189	0,260034
8190	0,260388
8191	0,259084
8192	0,259712
8193	0,259132
8194	0,259035
8195	0,259454
8196	0,259196
8197	0,259019
8198	0,258906
8199	0,259229
8200	0,260179
8201	0,259599
8202	0,26005
8203	0,260501
8204	0,260791
8205	0,260952
8206	0,261999
8207	0,262079
8208	0,263046
8209	0,26282
8210	0,264206
8211	0,263642
8212	0,264673
8213	0,264689
8214	0,265381
8215	0,265365
8216	0,266348
8217	0,266493
8218	0,266348
8219	0,266605
8220	0,266122
8221	0,266042
8222	0,266138
8223	0,266509
8224	0,266605
8225	0,266557
8226	0,266074
8227	0,266348
8228	0,26551
8229	0,264753
8230	0,264141
8231	0,263513
8232	0,263755
8233	0,263368
8234	0,26245
8235	0,261806
8236	0,262063
8237	0,261838
8238	0,260501
8239	0,260163
8240	0,260034
8241	0,259019
8242	0,258923
8243	0,2591
8244	0,259164
8245	0,258359
8246	0,258568
8247	0,258971
8248	0,258407
8249	0,258504
8250	0,258456
8251	0,258391
8252	0,258794
8253	0,259374
8254	0,259696
8255	0,260437
8256	0,260308
8257	0,260646
8258	0,261661
8259	0,261935
8260	0,262514
8261	0,26253
8262	0,26361
8263	0,264093
8264	0,265188
8265	0,264721
8266	0,265816
8267	0,265365
8268	0,265881
8269	0,266477
8270	0,26609
8271	0,266895
8272	0,267234
8273	0,266783
8274	0,267185
8275	0,266638
8276	0,266509
8277	0,266348
8278	0,266251
8279	0,265816
8280	0,265655
8281	0,265446
8282	0,264479
8283	0,264254
8284	0,263996
8285	0,262772
8286	0,262353
8287	0,26216
8288	0,261
8289	0,261065
8290	0,260195
8291	0,259986
8292	0,25918
8293	0,259422
8294	0,258858
8295	0,258456
8296	0,258037
8297	0,258005
8298	0,257682
8299	0,258069
8300	0,257747
8301	0,258311
8302	0,258053
8303	0,258182
8304	0,259196
8305	0,259599
8306	0,259905
8307	0,260066
8308	0,260968
8309	0,261548
8310	0,261596
8311	0,263191
8312	0,263094
8313	0,263223
8314	0,263432
8315	0,264431
8316	0,26456
8317	0,265478
8318	0,266042
8319	0,26609
8320	0,266654
8321	0,267346
8322	0,267507
8323	0,267572
8324	0,267298
8325	0,26696
8326	0,266573
8327	0,26704
8328	0,266831
8329	0,26646
8330	0,266332
8331	0,266154
8332	0,264769
8333	0,264753
8334	0,264141
8335	0,263239
8336	0,262917
8337	0,262224
8338	0,262079
8339	0,261258
8340	0,260565
8341	0,259921
8342	0,259937
8343	0,259051
8344	0,258745
8345	0,258778
8346	0,25794
8347	0,257618
8348	0,258423
8349	0,257666
8350	0,257699
8351	0,257489
8352	0,257344
8353	0,258117
8354	0,258617
8355	0,25881
8356	0,25918
8357	0,259406
8358	0,260356
8359	0,260694
8360	0,261451
8361	0,261467
8362	0,262096
8363	0,263481
8364	0,263755
8365	0,264415
8366	0,265252
8367	0,265397
8368	0,266654
8369	0,266605
8370	0,266605
8371	0,266686
8372	0,266976
8373	0,267668
8374	0,268168
8375	0,26762
8376	0,267475
8377	0,267282
8378	0,266831
8379	0,266944
8380	0,266299
8381	0,26638
8382	0,265864
8383	0,26543
8384	0,264012
8385	0,264141
8386	0,263094
8387	0,262772
8388	0,261999
8389	0,260759
8390	0,260823
8391	0,259873
8392	0,259341
8393	0,259261
8394	0,258294
8395	0,2586
8396	0,258085
8397	0,257699
8398	0,25757
8399	0,257151
8400	0,257328
8401	0,25728
8402	0,257731
8403	0,257312
8404	0,258085
8405	0,259132
8406	0,259519
8407	0,259535
8408	0,259551
8409	0,259808
8410	0,260791
8411	0,261806
8412	0,262434
8413	0,263014
8414	0,263416
8415	0,264834
8416	0,26485
8417	0,265494
8418	0,26609
8419	0,265816
8420	0,266766
8421	0,26696
8422	0,267298
8423	0,267395
8424	0,267749
8425	0,267411
8426	0,267185
8427	0,266621
8428	0,266718
8429	0,266428
8430	0,266106
8431	0,266058
8432	0,26551
8433	0,264721
8434	0,263996
8435	0,263706
8436	0,262643
8437	0,262337
8438	0,26121
8439	0,261129
8440	0,260243
8441	0,259374
8442	0,259374
8443	0,2586
8444	0,25823
8445	0,257409
8446	0,256829
8447	0,256877
8448	0,256635
8449	0,257699
8450	0,257231
8451	0,25736
8452	0,257554
8453	0,25736
8454	0,25765
8455	0,258117
8456	0,258568
8457	0,25947
8458	0,259744
8459	0,261387
8460	0,261226
8461	0,261741
8462	0,262498
8463	0,262675
8464	0,264125
8465	0,264206
8466	0,264834
8467	0,265397
8468	0,265736
8469	0,266831
8470	0,266815
8471	0,267378
8472	0,267024
8473	0,26733
8474	0,267056
8475	0,267491
8476	0,267008
8477	0,26704
8478	0,266766
8479	0,266928
8480	0,265816
8481	0,265558
8482	0,264576
8483	0,263819
8484	0,263287
8485	0,262627
8486	0,262756
8487	0,261548
8488	0,260936
8489	0,260533
8490	0,259696
8491	0,259213
8492	0,258407
8493	0,258214
8494	0,258005
8495	0,257312
8496	0,25757
8497	0,256909
8498	0,257086
8499	0,25765
8500	0,257248
8501	0,256909
8502	0,257827
8503	0,258149
8504	0,258375
8505	0,259051
8506	0,259615
8507	0,260565
8508	0,260598
8509	0,261387
8510	0,26179
8511	0,262804
8512	0,26369
8513	0,264383
8514	0,264866
8515	0,26514
8516	0,26609
8517	0,266734
8518	0,266702
8519	0,266847
8520	0,267169
8521	0,267717
8522	0,26762
8523	0,267604
8524	0,267765
8525	0,267395
8526	0,267781
8527	0,266638
8528	0,26638
8529	0,265784
8530	0,26493
8531	0,265462
8532	0,264093
8533	0,264222
8534	0,262659
8535	0,262724
8536	0,262418
8537	0,260904
8538	0,260002
8539	0,259164
8540	0,259164
8541	0,258504
8542	0,258069
8543	0,258053
8544	0,257296
8545	0,257006
8546	0,257312
8547	0,257231
8548	0,25728
8549	0,257537
8550	0,257666
8551	0,257731
8552	0,258311
8553	0,259132
8554	0,260163
8555	0,259663
8556	0,260034
8557	0,261355
8558	0,262176
8559	0,262514
8560	0,263384
8561	0,263481
8562	0,264028
8563	0,265414
8564	0,265349
8565	0,266493
8566	0,266267
8567	0,266976
8568	0,267749
8569	0,267443
8570	0,267846
8571	0,267588
8572	0,268071
8573	0,268297
8574	0,26733
8575	0,266879
8576	0,266766
8577	0,266267
8578	0,265768
8579	0,265188
8580	0,264608
8581	0,263803
8582	0,263432
8583	0,262692
8584	0,261951
8585	0,261548
8586	0,260807
8587	0,260227
8588	0,259583
8589	0,258359
8590	0,258778
8591	0,257972
8592	0,257699
8593	0,256942
8594	0,257038
8595	0,257376
8596	0,257167
8597	0,257715
8598	0,257602
8599	0,258133
8600	0,258745
8601	0,258649
8602	0,259084
8603	0,259535
8604	0,259196
8605	0,260517
8606	0,261403
8607	0,262063
8608	0,263078
8609	0,263465
8610	0,26493
8611	0,264834
8612	0,265687
8613	0,265558
8614	0,2658
8615	0,266815
8616	0,267137
8617	0,266863
8618	0,267378
8619	0,267105
8620	0,267491
8621	0,267105
8622	0,266734
8623	0,266573
8624	0,266654
8625	0,266074
8626	0,265414
8627	0,265269
8628	0,264399
8629	0,264222
8630	0,263191
8631	0,262321
8632	0,261725
8633	0,2615
8634	0,260791
8635	0,260501
8636	0,259905
8637	0,25968
8638	0,258745
8639	0,258456
8640	0,258117
8641	0,257376
8642	0,257892
8643	0,257425
8644	0,258037
8645	0,258166
8646	0,258101
8647	0,258278
8648	0,258874
8649	0,259567
8650	0,259631
8651	0,259454
8652	0,260404
8653	0,261081
8654	0,262434
8655	0,262595
8656	0,263271
8657	0,263916
8658	0,264061
8659	0,264882
8660	0,264753
8661	0,265172
8662	0,266315
8663	0,266332
8664	0,266573
8665	0,266428
8666	0,267701
8667	0,266831
8668	0,266879
8669	0,266895
8670	0,266589
8671	0,266315
8672	0,266493
8673	0,266009
8674	0,265172
8675	0,264753
8676	0,264238
8677	0,263432
8678	0,262869
8679	0,262047
8680	0,261596
8681	0,261081
8682	0,260565
8683	0,259986
8684	0,259857
8685	0,259422
8686	0,258488
8687	0,258343
8688	0,257344
8689	0,258166
8690	0,258117
8691	0,258391
8692	0,258149
8693	0,258391
8694	0,259132
8695	0,258955
8696	0,259035
8697	0,259776
8698	0,259696
8699	0,260888
8700	0,261322
8701	0,261612
8702	0,262192
8703	0,262965
8704	0,263642
8705	0,263771
8706	0,264044
8707	0,264495
8708	0,264995
8709	0,266042
8710	0,266058
8711	0,266879
8712	0,266702
8713	0,26667
8714	0,267121
8715	0,266477
8716	0,266477
8717	0,266509
8718	0,266009
8719	0,266171
8720	0,265397
8721	0,265494
8722	0,264399
8723	0,264012
8724	0,26311
8725	0,262257
8726	0,262305
8727	0,261628
8728	0,2615
8729	0,261016
8730	0,260372
8731	0,260469
8732	0,259551
8733	0,259245
